session_id,target
1,4.683727401955941e-05
2,1.234108405628145e-07
3,6.196171042422763e-09
4,2.2576808179792965e-10
5,2.0269723372604453e-05
6,3.4421396823927897e-06
7,0.00045839066116066553
8,0.00014789888616271286
9,1.3550013526866068e-05
10,0.0010484515199562804
11,8.407464823301664e-06
12,1.6507024833903373e-06
13,7.2244015183474966e-06
14,0.010710222103873965
15,7.24492469573067e-05
16,0.00010242261072501051
17,0.016857813736388755
18,5.143064223356183e-07
19,0.0003617497564452903
20,8.534377575776947e-08
21,0.027073530085584795
22,4.346200381129419e-07
23,2.2953193707074176e-05
24,0.0016546730326807064
25,0.07177766451935491
26,4.599850428866375e-09
27,8.403196579056553e-06
28,1.9399169030797372e-09
29,0.014621419391937776
30,0.0001390778453251068
31,0.023084571912356345
32,0.012337937540626912
33,1.0338244370739e-05
34,1.4315902488327582e-07
35,0.018496242126688524
36,0.00025411513218428236
37,4.7440820885511924e-11
38,8.147602540424338e-08
39,3.0017176309180987e-05
40,6.245940235468755e-07
41,0.00026426283698124253
42,0.007170482197803537
43,2.587227781448587e-06
44,1.0096899516493183e-05
45,0.2987105699510615
46,1.6875393675563035e-05
47,7.756909556870483e-05
48,7.583218435162796e-06
49,1.827812659910566e-05
50,8.458811959675721e-08
51,4.732182870911191e-10
52,4.72431972535546e-06
53,0.020258138568558477
54,7.716697031510387e-05
55,6.461232581154313e-06
56,0.00604896222369933
57,9.678518214456927e-09
58,1.8119541335567881e-07
59,1.134522206208321e-06
60,1.5824114745978195e-07
61,9.262779997254589e-08
62,2.7048056401954538e-05
63,2.831250858296988e-07
64,1.4640016868978664e-05
65,5.386904794820289e-07
66,3.2908258110025273e-07
67,7.118128788804959e-06
68,0.0002750348050667227
69,0.04335783474191242
70,2.3533027265681617e-06
71,0.00024243994132705778
72,6.831490776571233e-05
73,0.13870062284671736
74,7.5202315293458376e-06
75,2.5443920370602766e-05
76,0.0003222748207835651
77,0.00017016755973711282
78,0.001968545280634151
79,4.0458457883939245e-06
80,9.762641842833374e-07
81,2.805238489686225e-07
82,0.00012795039099279876
83,1.317465480066198e-09
84,0.5865690818750119
85,7.796740965124984e-06
86,2.768862407338954e-07
87,0.001738845153515403
88,0.00022042835264650997
89,0.0002925052329646488
90,0.026506423912128773
91,2.2222031615253345e-06
92,3.063554978088992e-07
93,0.03649976942604564
94,1.914795204289611e-05
95,0.09357240823520926
96,1.3851798080501472e-07
97,0.00010855565282461856
98,9.942206862245643e-07
99,3.997663150718867e-07
100,2.7330251946653435e-05
101,4.588359487831352e-06
102,0.12061913092802472
103,2.047030858536427e-05
104,2.5135954882986066e-05
105,5.285394141953924e-06
106,2.9907897765557146e-06
